OTUID	Mean	Taxonomy
OTU_3056	0.001	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Desulfuromonadales;f__Cardiobacteriaceae;g__Dichelobacter;s__Dichelobacter_nodosus
OTU_3057	0.001	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Ktedonobacter;s__Ktedonobacter_racemifer
OTU_3058	0.003	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Silanimonas;s__Arenimonas_metalli
OTU_3059	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter;s__Syntrophobacter_wolinii
OTU_3060	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca
OTU_3061	0.001	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera;s__Phycisphaera_mikurensis
OTU_3062	0.002	k__Bacteria;p__Verrucomicrobia;c__Subdivision3;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Subdivision3_genera_incertae_sedis;s__Terrimicrobium_sacchariphilum
OTU_3063	0.002	k__Bacteria;p__Verrucomicrobia;c__Subdivision3;g__Subdivision3_genera_incertae_sedis;s__Limisphaera_ngatamarikiensis
OTU_3064	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae;g__Anaeromyxobacter;s__Anaeromyxobacter_dehalogenans
OTU_3065	0.002	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Hyphomonas_chukchiensis
OTU_3067	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Lentzea;s__Lentzea_waywayandensis
OTU_3068	0.001	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Pirellula;s__Pirellula_staleyi
OTU_3070	0.001	k__Bacteria;p__Parcubacteria;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Parcubacteria_genera_incertae_sedis;s__Moheibacter_sediminis
OTU_3071	0.001	k__Bacteria;p__Proteobacteria;c__Aquificae;o__Desulfurobacteriales;f__Desulfurobacteriaceae;g__Desulfurobacterium;s__Desulfurobacterium_atlanticum
OTU_3072	0.001	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Pirellula;s__Pirellula_staleyi
OTU_3073	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio_bacteriovorus
OTU_3075	0.001	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bacillales;f__Staphylococcaceae;g__Jeotgalicoccus;s__Jeotgalicoccus_nanhaiensis
OTU_3076	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__Barnesiella_viscericola
OTU_3077	0.002	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter;s__Syntrophobacter_wolinii
OTU_3078	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Chitinophaga;s__Chitinophaga_costaii
OTU_3079	0.001	k__Bacteria;p__Parcubacteria;g__Parcubacteria_genera_incertae_sedis
OTU_3080	0.001	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Sphingobacteriaceae;g__Lunatimonas;s__Lunatimonas_lonarensis
OTU_3082	0.001	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter_insulae
OTU_3083	0.001	k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi
OTU_3084	0.001	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydophila_pecorum
OTU_3085	0.001	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Oxobacter;s__Oxobacter_pfennigii
OTU_3086	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Mongoliicoccus;s__Dyadobacter_fermentans
OTU_3088	0.003	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__Caldilinea_aerophila
OTU_3092	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Parcubacteria_genera_incertae_sedis;s__Lawsonia_intracellularis
OTU_3094	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Labilithrix;s__Labilithrix_luteola
OTU_3095	0.004	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Solirubrobacterales;f__Conexibacteraceae;g__Conexibacter;s__Conexibacter_arvalis
OTU_3096	0.001	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Pirellula;s__Pirellula_staleyi
OTU_3097	0.002	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Owenweeksia;s__Owenweeksia_hongkongensis
OTU_3098	0.002	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Paracraurococcus;s__Paracraurococcus_ruber
OTU_3099	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Aeromicrobium;s__Aeromicrobium_tamlense
OTU_3100	0.059	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter;s__Geobacter_pickeringii
OTU_3101	0.003	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Woodsholea;s__Woodsholea_maritima
OTU_3102	0.001	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae;g__Taonella;s__Taonella_mepensis
OTU_3103	0	k__Bacteria;p__Verrucomicrobia;c__Subdivision5;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Subdivision5_genera_incertae_sedis;s__Roseibacillus_ishigakijimensis
OTU_3104	0.001	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Oxalicibacterium;s__Oxalicibacterium_solurbis
OTU_3105	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidocella;s__Acidocella_aluminiidurans
OTU_3107	0.001	k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Thermogemmatispora;s__Thermogemmatispora_foliorum
OTU_3110	0.001	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Anaerocella;s__Anaerocella_delicata
OTU_3111	0.001	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Levilinea;s__Levilinea_saccharolytica
OTU_3114	0.001	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Pirellula;s__Pirellula_staleyi
OTU_3116	0.004	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus;s__Tumebacillus_permanentifrigoris
OTU_3117	0.001	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_IV;g__Caldicoprobacter;s__Caldicoprobacter_oshimai
OTU_3119	0.001	k__Bacteria;p__Parcubacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nautiliaceae;g__Parcubacteria_genera_incertae_sedis;s__Nitratiruptor_tergarcus
OTU_3120	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI;s__Sporacetigenium_mesophilum
OTU_3121	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces;s__Solirubrobacter_taibaiensis
OTU_3122	0	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp10;g__Gp10
OTU_3123	0.023	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Pelobacter;s__Desulfobacca_acetoxidans
OTU_3124	0.001	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Phaeocystidibacter;s__Phaeocystidibacter_luteus
OTU_3126	0.001	k__Bacteria;p__Chloroflexi;c__Ardenticatenia;o__Ardenticatenales;f__Ardenticatenaceae;g__Ardenticatena;s__Ardenticatena_maritima
OTU_3127	0.003	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas_carbonis
OTU_3128	0.001	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;s__Anaerolinea_thermophila
OTU_3130	0.004	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Reyranella;s__Reyranella_graminifolii
OTU_3131	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_mexicanus
OTU_3132	0.001	k__Bacteria;p__Elusimicrobia;c__Endomicrobia;o__Desulfobacterales;f__Sinobacteraceae;g__Candidatus_Endomicrobium;s__Megamonas_hypermegale
OTU_3134	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces;s__Solirubrobacter_taibaiensis
OTU_3135	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia_compacta
OTU_3136	0.001	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__Clostridium_carboxidivorans
OTU_3137	0.004	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudorhodobacter;s__Cereibacter_changlensis
OTU_3138	0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Parcubacteria_genera_incertae_sedis;s__Prosthecobacter_dejongeii
OTU_3140	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfothermus_naphthae
OTU_3141	0.001	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albimonas;s__Albimonas_pacifica
OTU_3142	0.006	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter;s__Syntrophobacter_wolinii
OTU_3143	0.001	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Sphingobacteriaceae;g__Phaeocystidibacter;s__Phaeocystidibacter_luteus
OTU_3144	0.004	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XII;g__Fusibacter;s__Fusibacter_bizertensis
OTU_3145	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Jiangella;s__Jiangella_alkaliphila
OTU_3146	0	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalogenimonas;s__Dehalogenimonas_lykanthroporepellens
OTU_3147	0	k__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea;s__Caldilinea_aerophila
OTU_3148	0.001	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Arcobacter;s__Arcobacter_butzleri
OTU_3149	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Jonesiaceae;g__Jonesia;s__Jonesia_quinghaiensis
OTU_3150	0	k__Bacteria;p__Verrucomicrobia;c__Subdivision3;g__Subdivision3_genera_incertae_sedis;s__Limisphaera_ngatamarikiensis
OTU_3151	0.001	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Steroidobacter;s__Povalibacter_uvarum
OTU_3152	0.001	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera;s__Phycisphaera_mikurensis
OTU_3153	0.001	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Oscillochloridaceae;g__Oscillochloris;s__Gemmatimonas_aurantiaca
OTU_3154	0.001	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__Syntrophomonas_palmitatica
OTU_3155	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Owenweeksia;s__Owenweeksia_hongkongensis
OTU_3157	0.001	k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;g__Spartobacteria_genera_incertae_sedis
OTU_3159	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Saprospiraceae;g__Lewinella;s__Mongoliicoccus_roseus
OTU_3160	0.001	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_salyersiae
OTU_3161	0.001	k__Bacteria;p__Acidobacteria;c__Endomicrobia;o__Clostridiales;f__Veillonellaceae;g__BRC1_genera_incertae_sedis;s__Megamonas_hypermegale
OTU_3162	0	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3;s__Paludibaculum_fermentans
OTU_3163	0.001	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;o__Xanthomonadales;f__Xanthomonadaceae;g__Gp3;s__Granulicella_rosea
OTU_3166	0.001	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Phaeospirillum;s__Phaeospirillum_oryzae
OTU_3167	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae;g__Cystobacter;s__Cystobacter_badius
OTU_3168	0.005	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__Clostridium_histolyticum
OTU_3169	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodocyclaceae;g__Sulfurimonas;s__Caminibacter_mediatlanticus
OTU_3170	0.001	k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Melioribacter;s__Melioribacter_roseus
OTU_3171	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio_exovorus
OTU_3173	0.001	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Waddliaceae;g__Waddlia;s__Waddlia_chondrophila
OTU_3174	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Anaplasmataceae;g__Lactobacillus;s__Kordiimonas_lacus
OTU_3176	0	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Parachlamydia;s__Parachlamydia_acanthamoebae
OTU_3177	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Gordonia;s__Gordonia_alkanivorans
OTU_3178	0.004	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Syntrophus;s__Syntrophus_gentianae
OTU_3179	0.001	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Prolixibacter;s__Prolixibacter_bellariivorans
OTU_3180	0.002	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__Chryseolinea;s__Chryseolinea_serpens
OTU_3181	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Ardenticatenales;f__Ardenticatenaceae;g__Ardenticatena;s__Ardenticatena_maritima
OTU_3182	0.001	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae_1;g__Paenibacillus;s__Paenibacillus_nanensis
OTU_3183	0.001	k__Bacteria;p__Latescibacteria;g__Latescibacteria_genera_incertae_sedis
OTU_3184	0.001	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp18;g__Gp18
OTU_3185	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio_exovorus
OTU_3186	0.001	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Parachlamydia;s__Parachlamydia_acanthamoebae
OTU_3187	0.004	k__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea;s__Caldilinea_aerophila
OTU_3189	0.003	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Steroidobacter;s__Steroidobacter_agariperforans
OTU_3190	0.001	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Neochlamydia;s__Neochlamydia_hartmannellae
OTU_3191	0.002	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Belnapia;s__Belnapia_soli
OTU_3192	0.001	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Oscillochloridaceae;g__Oscillochloris;s__Caldilinea_aerophila
OTU_3193	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Clostridiales;f__Xanthomonadaceae;g__Parcubacteria_genera_incertae_sedis;s__Ignatzschineria_ureiclastica
OTU_3194	0.001	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae_1;g__Paenibacillus;s__Paenibacillus_gansuensis
OTU_3195	0.001	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto
OTU_3197	0.001	k__Bacteria;p__Latescibacteria;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Latescibacteria_genera_incertae_sedis;s__Desulfuromusa_bakii
OTU_3198	0.001	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Salinirepens;s__Salinirepens_amamiensis
OTU_3199	0.001	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Zavarzinella;s__Zavarzinella_formosa
OTU_3200	0.001	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Caloramator;s__Caloramator_quimbayensis
OTU_3201	0.003	k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Thermomicrobium;s__Thermomicrobium_carboxidum
OTU_3202	0.001	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__Caloramator_quimbayensis
OTU_3203	0.001	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Alistipes;s__Alistipes_onderdonkii
OTU_3204	0.001	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;s__Spirochaeta_thermophila
OTU_3205	0.001	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Parachlamydia;s__Parachlamydia_acanthamoebae
OTU_3206	0.003	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter_oerskovii
OTU_3208	0.001	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Pseudomonas;s__Pasteurella_skyensis
OTU_3209	0.001	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;s__Spirochaeta_aurantia_subsp._aurantia
OTU_3211	0.001	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Paludibaculum;s__Paludibaculum_fermentans
OTU_3212	0.001	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Geminicoccus;s__Geminicoccus_roseus
OTU_3213	0.001	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium_gobiense
OTU_3214	0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__BRC1_genera_incertae_sedis;s__Propionispora_vibrioides
OTU_3215	0.001	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter_bauzanensis
OTU_3216	0.001	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium;s__Rubellimicrobium_thermophilum
OTU_3217	0.002	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae_1;g__Desulfitobacterium;s__Desulfitobacterium_aromaticivorans
OTU_3218	0	k__Bacteria;p__Proteobacteria;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera;s__Phycisphaera_mikurensis
OTU_3219	0.001	k__Bacteria;p__Chloroflexi;c__Deltaproteobacteria;o__Desulfobacterales;f__Caldilineaceae;g__Litorilinea;s__Litorilinea_aerophila
OTU_3220	0.023	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiales_incertae_sedis;g__Sphaerotilus;s__Sphaerotilus_hippei
OTU_3221	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Solirubrobacterales;f__Conexibacteraceae;g__Conexibacter;s__Conexibacter_arvalis
OTU_3222	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Thermoanaerobaculum_aquaticum
OTU_3223	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Pelobacter;s__Pelobacter_seleniigenes
OTU_3224	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Aggregicoccus;s__Aggregicoccus_edonensis
OTU_3225	0.001	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus_koreensis
OTU_3226	0.056	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium_larrymoorei
OTU_3227	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Caldilineales;f__Caldilineaceae;g__Litorilinea;s__Litorilinea_aerophila
OTU_3228	0.001	k__Bacteria;p__Proteobacteria;c__Spirochaetia;o__Spirochaetales;f__Leptospiraceae;g__Turneriella;s__Turneriella_parva
OTU_3229	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Pelobacter;s__Pelobacter_seleniigenes
OTU_3230	0.001	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae;g__Ferrovibrio;s__Ferrovibrio_denitrificans
OTU_3231	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Stella;s__Stella_vacuolata
OTU_3232	0.001	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp4;o__Nitrospinales;f__Nitrospinaceae;g__Gp4;s__Pyrinomonas_methylaliphatogenes
OTU_3233	0.001	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera;s__Phycisphaera_mikurensis
OTU_3234	0	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Parachlamydia;s__Parachlamydia_acanthamoebae
OTU_3235	0.001	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Saccharibacteria_genera_incertae_sedis;s__Geothermobacter_ehrlichii
OTU_3236	0.001	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Spartobacteria_genera_incertae_sedis;s__Verrucomicrobium_spinosum
OTU_3237	0.001	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Francisella;s__Francisella_tularensis_subsp._mediasiatica
OTU_3241	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Chelatococcus;s__Chelatococcus_asaccharovorans
OTU_3242	0.001	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp2;g__Gp2
OTU_3243	0.001	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_2;g__Alkaliphilus;s__Alkaliphilus_halophilus
OTU_3245	0.001	k__Bacteria;p__Parcubacteria;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Parcubacteria_genera_incertae_sedis;s__Sphaerotilus_hippei
OTU_3246	0	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__Prosthecobacter_vanneervenii
OTU_3247	0.004	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylomicrobium;s__Methylomicrobium_japanense
