Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
H4076Hc	0.0908	0.0408	1097.3	0.979	0.761	81.1	203.9	5000.0	1087.0	0.633	0.0215	5.32	7.67	2.31
H4076He	0.207	0.0216	1074.2	0.937	0.672	29.9	107.8	5000.0	1061.0	0.693	0.0627	4.68	6.75	2.03
H4076Hf	0.143	0.0507	1352.2	0.971	0.769	75.1	253.5	5000.0	1341.0	0.672	0.0289	5.54	7.99	2.40
H4080Ha	0.129	0.032	1130.9	0.968	0.723	56.0	160.0	5000.0	1118.0	0.685	0.0315	5.08	7.32	2.20
H4080Hd	0.0986	0.0461	1164.9	0.980	0.771	89.6	230.3	5000.0	1155.0	0.637	0.0203	5.44	7.85	2.36
H4080He	0.0516	0.0873	1489.8	0.991	0.833	190.6	436.7	5000.0	1482.0	0.625	0.00944	6.08	8.77	2.64
K4093Ha	0.165	0.0613	1500.3	0.969	0.784	78.5	306.4	5000.0	1490.0	0.658	0.0315	5.73	8.26	2.49
K4093Hd	0.0922	0.0452	1220.7	0.978	0.763	82.3	225.8	5000.0	1211.0	0.654	0.0222	5.42	7.82	2.35
K4093He	0.115	0.0585	1441.2	0.977	0.782	90.2	292.7	5000.0	1432.0	0.660	0.0231	5.68	8.19	2.47
K4094Ha	0.240	0.0255	1197.4	0.930	0.685	29.2	127.6	5000.0	1186.0	0.676	0.07	4.85	7.00	2.11
K4094Hb	0.179	0.0118	696.6	0.936	0.625	24.0	59.1	5000.0	683.0	0.678	0.064	4.08	5.89	1.77
K4094Hc	0.195	0.0331	1216.3	0.949	0.720	41.4	165.7	5000.0	1210.0	0.630	0.0508	5.11	7.37	2.22
K4096Hb	0.183	0.0358	1266.8	0.956	0.727	47.6	179.0	5000.0	1255.0	0.687	0.0441	5.19	7.48	2.25
K4096Hd	0.127	0.05	1393.0	0.966	0.763	64.7	250.0	5000.0	1385.0	0.640	0.0339	5.52	7.97	2.40
K4096Hf	0.206	0.0236	1128.4	0.942	0.680	32.6	118.0	5000.0	1114.0	0.697	0.058	4.77	6.88	2.07
L4105Ha	0.106	0.0762	1530.2	0.983	0.811	127.6	381.2	5000.0	1523.0	0.644	0.0172	5.94	8.57	2.58
L4105Hb	0.129	0.0294	1125.7	0.962	0.712	47.2	147.2	5000.0	1111.0	0.692	0.0383	4.99	7.20	2.17
L4105Hc	0.0874	0.122	1831.6	0.989	0.854	212.1	608.1	5000.0	1823.0	0.650	0.0114	6.41	9.25	2.78
M4112Ha	0.0902	0.0948	1664.8	0.986	0.831	160.2	474.1	5000.0	1657.0	0.641	0.0139	6.16	8.89	2.68
M4112Hb	0.142	0.0543	1389.3	0.973	0.775	80.9	271.4	5000.0	1381.0	0.651	0.0271	5.60	8.08	2.43
M4112Hd	0.152	0.0511	1373.9	0.970	0.768	72.8	255.3	5000.0	1364.0	0.667	0.0304	5.54	8.00	2.41
M4113Hb	0.0724	0.0956	1558.1	0.990	0.840	195.6	478.0	5000.0	1551.0	0.617	0.0102	6.17	8.90	2.68
M4113Hd	0.0742	0.0681	1429.3	0.986	0.803	132.3	340.5	5000.0	1418.0	0.662	0.0143	5.83	8.41	2.53
M4113Hf	0.0592	0.0703	1410.2	0.987	0.809	142.0	351.4	5000.0	1403.0	0.634	0.0128	5.86	8.46	2.55
M4114Hb	0.134	0.0505	1237.1	0.974	0.778	82.6	252.5	5000.0	1229.0	0.622	0.0257	5.53	7.98	2.40
M4114He	0.0658	0.109	1676.0	0.991	0.849	219.3	543.7	5000.0	1669.0	0.632	0.00943	6.30	9.09	2.74
M4114Hf	0.0744	0.0804	1528.5	0.985	0.818	143.2	402.1	5000.0	1521.0	0.635	0.0146	6.00	8.65	2.60
M4115Hc	0.0726	0.044	1212.2	0.979	0.760	82.7	219.9	5000.0	1202.0	0.649	0.0209	5.39	7.78	2.34
M4115Hd	0.128	0.059	1488.1	0.972	0.779	79.6	295.0	5000.0	1478.0	0.660	0.0281	5.69	8.20	2.47
M4115He	0.130	0.0473	1324.5	0.968	0.761	65.8	236.4	5000.0	1317.0	0.634	0.0323	5.47	7.89	2.37
M4117Ha	0.168	0.0415	1298.1	0.962	0.745	56.8	207.4	5000.0	1288.0	0.659	0.0375	5.33	7.70	2.32
M4117Hc	0.329	0.00939	853.8	0.871	0.572	13.1	46.9	5000.0	836.0	0.720	0.129	3.85	5.55	1.67
M4117Hf	0.223	0.0291	1241.7	0.940	0.700	34.7	145.7	5000.0	1233.0	0.673	0.06	4.98	7.19	2.16
M4118Ha	0.185	0.0445	1380.4	0.958	0.748	55.0	222.6	5000.0	1372.0	0.670	0.0416	5.41	7.80	2.35
M4118Hb	0.0722	0.0808	1448.4	0.987	0.825	157.6	404.1	5000.0	1440.0	0.625	0.0128	6.00	8.66	2.61
M4118Hc	0.194	0.0216	958.9	0.938	0.683	30.5	107.9	5000.0	948.0	0.641	0.0619	4.68	6.75	2.03
M4119Ha	0.170	0.0158	900.9	0.938	0.644	26.1	79.0	5000.0	888.0	0.675	0.0624	4.37	6.30	1.90
M4119Hb	0.167	0.0421	1228.2	0.964	0.753	60.6	210.5	5000.0	1219.0	0.638	0.0357	5.35	7.72	2.32
M4119Hd	0.178	0.0326	1312.5	0.946	0.710	37.6	162.8	5000.0	1301.0	0.677	0.0544	5.09	7.35	2.21
M4120Hd	0.366	0.0171	1120.7	0.862	0.634	15.1	85.3	5000.0	1107.0	0.690	0.138	4.45	6.41	1.93
M4120He	0.129	0.0706	1508.8	0.977	0.802	104.2	353.2	5000.0	1499.0	0.651	0.0226	5.87	8.46	2.55
M4120Hf	0.204	0.031	1251.3	0.945	0.708	37.6	154.9	5000.0	1240.0	0.670	0.0546	5.04	7.28	2.19
N4121Hb	0.105	0.0689	1509.2	0.980	0.799	108.7	344.7	5000.0	1499.0	0.665	0.02	5.84	8.43	2.54
N4121Hc	0.094	0.0509	1275.5	0.979	0.775	91.5	254.5	5000.0	1266.0	0.645	0.0205	5.54	7.99	2.41
N4121He	0.111	0.0695	1516.1	0.979	0.800	103.2	347.6	5000.0	1507.0	0.638	0.0215	5.85	8.44	2.54
N4126Hc	0.0872	0.0969	1642.7	0.988	0.836	180.6	484.6	5000.0	1634.0	0.653	0.0121	6.18	8.92	2.69
N4126He	0.116	0.0789	1563.4	0.981	0.813	122.9	394.7	5000.0	1556.0	0.635	0.0188	5.98	8.62	2.60
N4126Hf	0.170	0.0372	1391.5	0.952	0.723	43.7	185.8	5000.0	1381.0	0.690	0.0476	5.22	7.54	2.27
N4127Ha	0.141	0.0427	1329.3	0.967	0.746	60.7	213.5	5000.0	1320.0	0.658	0.033	5.36	7.74	2.33
N4127Hb	0.0844	0.0744	1573.9	0.984	0.805	125.9	371.8	5000.0	1565.0	0.664	0.0162	5.92	8.54	2.57
N4127Hc	0.135	0.0504	1328.1	0.973	0.770	78.3	251.9	5000.0	1319.0	0.655	0.0267	5.53	7.98	2.40
N4130Hc	0.0626	0.0825	1445.8	0.989	0.828	172.0	412.6	5000.0	1437.0	0.634	0.0112	6.02	8.69	2.62
N4130Hd	0.085	0.0812	1539.7	0.986	0.819	150.8	405.8	5000.0	1530.0	0.658	0.0137	6.01	8.66	2.61
N4130He	0.1	0.0501	1283.8	0.977	0.772	85.3	250.3	5000.0	1275.0	0.649	0.0228	5.52	7.97	2.40
P4135Hb	0.163	0.0274	1083.6	0.956	0.705	42.2	136.9	5000.0	1071.0	0.675	0.0445	4.92	7.10	2.14
P4135Hc	0.0756	0.0492	1216.1	0.980	0.776	93.2	246.0	5000.0	1207.0	0.635	0.0196	5.51	7.94	2.39
P4135He	0.094	0.0284	968.5	0.973	0.722	59.1	142.1	5000.0	956.0	0.657	0.0267	4.96	7.15	2.15
Q4141Ha	0.184	0.0534	1454.6	0.961	0.768	63.4	267.2	5000.0	1448.0	0.643	0.0387	5.59	8.06	2.43
S4168Ha	0.136	0.0486	1382.5	0.972	0.760	72.5	243.0	5000.0	1374.0	0.661	0.0282	5.49	7.92	2.39
S4168Hd	0.142	0.0494	1322.6	0.971	0.767	72.6	246.9	5000.0	1315.0	0.634	0.0294	5.51	7.95	2.39
S4168Hf	0.0786	0.0767	1557.9	0.985	0.810	134.2	383.7	5000.0	1549.0	0.655	0.0149	5.95	8.58	2.58
W4194Hb	0.206	0.0386	1437.3	0.943	0.724	39.2	193.1	5000.0	1430.0	0.660	0.0567	5.26	7.59	2.29
W4194Hc	0.324	0.0234	1378.8	0.888	0.660	18.9	117.0	5000.0	1368.0	0.695	0.112	4.76	6.87	2.07
W4194Hf	0.126	0.0574	1514.6	0.973	0.774	78.9	287.2	5000.0	1505.0	0.672	0.0275	5.66	8.17	2.46
W4200Ha	0.0852	0.0371	1101.7	0.976	0.746	72.1	185.3	5000.0	1093.0	0.645	0.0235	5.22	7.53	2.27
W4200Hc	0.081	0.0518	1248.9	0.983	0.780	104.8	259.2	5000.0	1239.0	0.646	0.0166	5.56	8.02	2.41
W4200Hf	0.0684	0.061	1260.4	0.987	0.802	134.0	305.1	5000.0	1250.0	0.644	0.013	5.72	8.25	2.48
X4203Hd	0.0762	0.0557	1277.9	0.982	0.788	105.1	278.3	5000.0	1269.0	0.635	0.0176	5.63	8.12	2.44
X4203He	0.074	0.0768	1587.5	0.984	0.808	126.6	384.0	5000.0	1580.0	0.651	0.0163	5.95	8.59	2.58
X4203Hf	0.0816	0.0512	1261.8	0.982	0.778	98.5	256.2	5000.0	1244.0	0.671	0.0183	5.55	8.00	2.41
X4205Hb	0.153	0.0239	924.3	0.961	0.702	44.0	119.5	5000.0	913.0	0.666	0.0395	4.78	6.90	2.08
X4205He	0.143	0.0259	981.5	0.962	0.708	46.6	129.5	5000.0	964.0	0.668	0.0375	4.86	7.02	2.11
X4205Hf	0.256	0.0106	809.9	0.903	0.594	16.6	53.1	5000.0	800.0	0.657	0.0967	3.97	5.73	1.72
Y4215Ha	0.172	0.04	1269.8	0.961	0.742	54.8	199.8	5000.0	1258.0	0.664	0.039	5.30	7.64	2.30
Y4215Hb	0.135	0.0382	1151.9	0.970	0.746	63.4	191.0	5000.0	1142.0	0.655	0.0304	5.25	7.58	2.28
Y4215Hf	0.0916	0.0548	1245.6	0.983	0.788	109.3	274.2	5000.0	1237.0	0.639	0.0169	5.61	8.10	2.44
D4040Hb	0.134	0.0325	1056.4	0.967	0.732	56.1	162.4	5000.0	1045.0	0.647	0.033	5.09	7.34	2.21
D4040Hc	0.234	0.0177	925.4	0.929	0.658	25.9	88.7	5000.0	908.0	0.689	0.0715	4.48	6.47	1.95
D4040He	0.266	0.025	1170.8	0.922	0.685	27.6	125.2	5000.0	1160.0	0.680	0.0779	4.83	6.97	2.10
F4057Hc	0.113	0.0645	1403.6	0.981	0.798	113.9	322.7	5000.0	1394.0	0.665	0.0186	5.78	8.33	2.51
F4057Hd	0.109	0.0455	1192.3	0.979	0.767	87.3	227.3	5000.0	1182.0	0.660	0.021	5.43	7.83	2.36
F4057Hf	0.131	0.066	1374.6	0.978	0.803	108.3	330.2	5000.0	1366.0	0.635	0.0215	5.80	8.37	2.52
J4087Hc	0.291	0.0204	1145.3	0.905	0.658	21.4	101.9	5000.0	1132.0	0.684	0.0951	4.62	6.67	2.01
J4087Hd	0.168	0.0367	1214.6	0.962	0.735	54.0	183.5	5000.0	1205.0	0.658	0.0378	5.21	7.52	2.26
J4087He	0.210	0.0201	1050.1	0.928	0.663	25.9	100.3	5000.0	1040.0	0.670	0.0721	4.61	6.65	2.00
Q4142Hc	0.142	0.0335	1183.8	0.965	0.725	52.7	167.6	5000.0	1171.0	0.683	0.0355	5.12	7.39	2.22
Q4142Hd	0.0974	0.0324	1143.2	0.969	0.724	55.6	162.2	5000.0	1133.0	0.653	0.031	5.09	7.34	2.21
Q4142He	0.129	0.05	1323.4	0.975	0.769	81.9	250.0	5000.0	1315.0	0.660	0.025	5.52	7.97	2.40
Q4143Ha	0.115	0.0383	1137.2	0.974	0.748	69.8	191.6	5000.0	1125.0	0.663	0.026	5.26	7.58	2.28
Q4143Hb	0.249	0.0224	1101.7	0.926	0.675	27.2	112.0	5000.0	1088.0	0.678	0.0739	4.72	6.81	2.05
Q4143Hc	0.244	0.0298	1185.1	0.935	0.708	34.2	149.1	5000.0	1175.0	0.661	0.0652	5.00	7.22	2.17
Q4144Hb	0.150	0.0486	1270.0	0.970	0.770	73.4	243.2	5000.0	1260.0	0.636	0.0297	5.49	7.93	2.39
Q4144Hc	0.150	0.0258	1086.2	0.952	0.696	38.0	128.8	5000.0	1072.0	0.679	0.0484	4.86	7.01	2.11
Q4144He	0.169	0.0287	1125.4	0.956	0.708	43.0	143.7	5000.0	1116.0	0.653	0.0437	4.97	7.17	2.16
Q4146Ha	0.107	0.0403	1199.3	0.971	0.749	65.6	201.6	5000.0	1190.0	0.647	0.0287	5.31	7.66	2.30
Q4146Hd	0.0834	0.0487	1243.8	0.981	0.772	93.0	243.6	5000.0	1233.0	0.670	0.0195	5.50	7.93	2.39
Q4146Hf	0.119	0.0281	1062.8	0.963	0.711	47.9	140.6	5000.0	1049.0	0.681	0.0371	4.95	7.13	2.15
R4154Hc	0.153	0.0231	1015.2	0.955	0.687	38.7	115.3	5000.0	1002.0	0.692	0.0446	4.75	6.85	2.06
R4154He	0.236	0.0264	1135.3	0.936	0.695	32.8	132.0	5000.0	1123.0	0.674	0.0639	4.88	7.04	2.12
R4154Hf	0.110	0.0469	1322.8	0.972	0.760	71.2	234.4	5000.0	1311.0	0.669	0.0285	5.46	7.87	2.37
B4017Ha	0.0542	0.112	1709.0	0.991	0.851	229.7	560.5	5000.0	1701.0	0.636	0.00872	6.33	9.13	2.75
B4017Hh	0.0554	0.0961	1399.4	0.992	0.853	236.0	480.5	5000.0	1393.0	0.585	0.00764	6.17	8.91	2.68
B4017Hd	0.0464	0.107	1616.3	0.993	0.851	250.9	535.3	5000.0	1607.0	0.645	0.00712	6.28	9.06	2.73
E4041He	0.0472	0.0804	1397.6	0.990	0.829	179.3	402.1	5000.0	1390.0	0.618	0.00992	6.00	8.65	2.60
E4041Hf	0.07	0.0821	1352.9	0.990	0.835	185.2	410.3	5000.0	1345.0	0.601	0.0101	6.02	8.68	2.61
E4041Hg	0.0712	0.0752	1329.4	0.990	0.825	175.3	376.0	5000.0	1319.0	0.639	0.0102	5.93	8.55	2.58
E4047Hb	0.0922	0.0531	1297.1	0.978	0.780	90.6	265.7	5000.0	1288.0	0.640	0.0215	5.58	8.05	2.42
E4047Hc	0.104	0.0607	1272.6	0.983	0.800	115.6	303.7	5000.0	1264.0	0.623	0.0174	5.72	8.25	2.48
E4047Hd	0.0792	0.0935	1599.9	0.989	0.834	183.4	467.6	5000.0	1590.0	0.652	0.0112	6.15	8.87	2.67
E4048Ha	0.0722	0.0457	1109.5	0.983	0.775	96.2	228.3	5000.0	1102.0	0.614	0.0174	5.43	7.83	2.36
E4048Hc	0.106	0.0555	1268.1	0.981	0.788	101.4	277.3	5000.0	1261.0	0.620	0.0194	5.63	8.12	2.44
E4048Hd	0.0974	0.0548	1123.3	0.984	0.800	115.0	273.9	5000.0	1113.0	0.596	0.0165	5.61	8.10	2.44
E4050Ha	0.0486	0.0914	1453.4	0.992	0.842	215.2	457.1	5000.0	1444.0	0.634	0.00829	6.12	8.84	2.66
E4050Hb	0.0798	0.0755	1407.5	0.987	0.819	149.6	377.6	5000.0	1397.0	0.637	0.0132	5.93	8.56	2.58
E4050Hf	0.167	0.0406	1156.3	0.965	0.755	62.0	202.8	5000.0	1142.0	0.647	0.0348	5.31	7.66	2.31
S4165Hb	0.120	0.0351	1039.0	0.973	0.745	66.4	175.4	5000.0	1028.0	0.638	0.0269	5.17	7.45	2.24
S4165Hc	0.117	0.0261	870.4	0.971	0.722	55.1	130.3	5000.0	853.0	0.642	0.0295	4.87	7.03	2.12
S4165He	0.101	0.0618	1367.6	0.983	0.795	113.3	309.1	5000.0	1359.0	0.646	0.0175	5.73	8.27	2.49
S4167Hc	0.141	0.0422	1304.2	0.967	0.747	61.9	210.8	5000.0	1295.0	0.667	0.0327	5.35	7.72	2.32
S4167Hd	0.0876	0.0522	1278.2	0.980	0.779	95.7	261.0	5000.0	1269.0	0.646	0.0195	5.56	8.03	2.42
S4167He	0.075	0.0446	1115.0	0.980	0.771	88.9	222.8	5000.0	1105.0	0.624	0.0197	5.41	7.80	2.35
B4017La	0.105	0.0481	1188.3	0.978	0.775	87.4	240.6	5000.0	1180.0	0.615	0.0217	5.48	7.91	2.38
B4017Lb	0.103	0.0282	992.3	0.970	0.718	54.9	141.0	5000.0	982.0	0.652	0.0297	4.95	7.14	2.15
B4017Le	0.0964	0.033	1040.1	0.974	0.736	64.6	164.8	5000.0	1028.0	0.655	0.026	5.10	7.36	2.22
E4041La	0.037	0.153	1764.1	0.996	0.888	414.5	762.6	5000.0	1756.0	0.623	0.00428	6.64	9.57	2.88
E4041Ld	0.0728	0.0689	1247.9	0.988	0.820	153.1	344.5	5000.0	1239.0	0.598	0.0119	5.84	8.43	2.54
E4041Lf	0.0452	0.0964	1452.2	0.993	0.849	234.9	481.8	5000.0	1442.0	0.622	0.00749	6.18	8.91	2.68
E4047La	0.048	0.0847	1454.2	0.990	0.831	182.2	423.4	5000.0	1445.0	0.629	0.0101	6.05	8.73	2.63
E4047Lb	0.09	0.0834	1537.4	0.985	0.823	148.6	417.2	5000.0	1527.0	0.655	0.0147	6.03	8.70	2.62
E4047Lf	0.0832	0.0658	1319.3	0.984	0.807	126.1	328.8	5000.0	1311.0	0.619	0.0156	5.80	8.36	2.52
E4048Lb	0.161	0.0327	1182.4	0.959	0.721	46.8	163.7	5000.0	1172.0	0.650	0.0414	5.10	7.36	2.21
E4048Ld	0.0898	0.0625	1240.4	0.985	0.807	128.2	312.4	5000.0	1231.0	0.620	0.015	5.74	8.29	2.49
E4048Le	0.127	0.042	1206.3	0.972	0.754	69.3	210.2	5000.0	1198.0	0.629	0.0279	5.35	7.72	2.32
E4050Lb	0.0956	0.0444	1121.4	0.979	0.770	86.0	222.1	5000.0	1112.0	0.620	0.0209	5.40	7.79	2.35
E4050Lc	0.107	0.0588	1294.9	0.981	0.794	104.6	294.0	5000.0	1287.0	0.616	0.0194	5.68	8.20	2.47
E4050Le	0.054	0.078	1420.7	0.989	0.822	164.0	389.8	5000.0	1413.0	0.619	0.0111	5.97	8.61	2.59
F4054La	0.176	0.0283	1062.5	0.949	0.711	39.2	141.3	5000.0	1054.0	0.623	0.0506	4.95	7.14	2.15
F4054Ld	0.175	0.022	982.9	0.942	0.684	32.1	110.2	5000.0	969.0	0.653	0.0575	4.70	6.78	2.04
F4054Lf	0.139	0.0225	997.5	0.952	0.685	36.3	112.7	5000.0	987.0	0.659	0.0483	4.73	6.82	2.05
F4055Lb	0.136	0.0359	1071.9	0.968	0.745	60.1	179.3	5000.0	1063.0	0.622	0.032	5.19	7.49	2.25
F4055Le	0.0814	0.0661	1226.5	0.986	0.816	140.3	330.4	5000.0	1218.0	0.596	0.0135	5.80	8.37	2.52
F4055Lf	0.141	0.0334	1024.6	0.967	0.739	57.5	167.2	5000.0	1017.0	0.610	0.0328	5.12	7.39	2.22
F4060Lb	0.137	0.0425	1287.6	0.966	0.749	60.5	212.5	5000.0	1279.0	0.638	0.0336	5.36	7.73	2.33
F4060Lc	0.0994	0.048	1324.9	0.974	0.763	74.5	239.9	5000.0	1317.0	0.643	0.0261	5.48	7.91	2.38
F4060Ld	0.106	0.0553	1262.8	0.980	0.788	99.7	276.5	5000.0	1253.0	0.630	0.02	5.62	8.11	2.44
H4074Lc	0.0564	0.0889	1478.1	0.990	0.836	190.4	444.6	5000.0	1470.0	0.625	0.01	6.10	8.80	2.65
H4074Le	0.116	0.0452	1279.9	0.974	0.759	74.2	226.1	5000.0	1270.0	0.658	0.0259	5.42	7.82	2.35
H4074Lf	0.0998	0.0531	1273.5	0.979	0.781	94.0	265.5	5000.0	1266.0	0.631	0.021	5.58	8.05	2.42
H4071La	0.261	0.0169	939.9	0.920	0.650	23.6	84.7	5000.0	926.0	0.677	0.0804	4.44	6.40	1.93
H4071Lb	0.194	0.00822	607.4	0.917	0.582	17.2	41.1	5000.0	591.0	0.657	0.0828	3.72	5.36	1.61
H4071Lc	0.153	0.0237	979.8	0.953	0.695	38.4	118.3	5000.0	965.0	0.665	0.0472	4.77	6.89	2.07
J4083La	0.190	0.0169	817.0	0.936	0.663	27.2	84.4	5000.0	806.0	0.634	0.0644	4.44	6.40	1.93
J4083Ld	0.175	0.014	746.2	0.936	0.643	25.4	70.1	5000.0	739.0	0.624	0.0635	4.25	6.13	1.85
J4083Lf	0.122	0.0227	943.8	0.959	0.692	40.8	113.3	5000.0	932.0	0.667	0.0411	4.73	6.82	2.05
J4088Lb	0.0886	0.0309	942.0	0.976	0.737	66.9	154.3	5000.0	932.0	0.637	0.0238	5.04	7.27	2.19
J4088Lc	0.140	0.0442	1228.0	0.970	0.760	69.2	221.0	5000.0	1220.0	0.625	0.0295	5.40	7.79	2.34
J4088Le	0.100	0.0251	1015.6	0.962	0.699	43.7	125.7	5000.0	1004.0	0.662	0.0383	4.83	6.97	2.10
J4089La	0.197	0.0149	856.7	0.924	0.640	22.8	74.3	5000.0	841.0	0.685	0.0761	4.31	6.22	1.87
J4089Lb	0.197	0.0175	885.0	0.932	0.661	26.0	87.7	5000.0	870.0	0.635	0.0679	4.47	6.45	1.94
J4089Le	0.156	0.0216	910.1	0.947	0.689	34.4	108.2	5000.0	898.0	0.640	0.0528	4.68	6.76	2.03
J4090La	0.221	0.0105	767.9	0.921	0.597	19.4	52.4	5000.0	759.0	0.688	0.0791	3.96	5.71	1.72
J4090Ld	0.176	0.0145	782.7	0.942	0.644	27.3	72.3	5000.0	769.0	0.673	0.0577	4.28	6.17	1.86
J4090Le	0.174	0.013	746.9	0.940	0.633	25.7	64.8	5000.0	730.0	0.684	0.0598	4.17	6.02	1.81
