Supplementary Table 13b: Phenotypic data of synthetic consortia colonization of germ-free plants experiment (Inorganic nitrogen). Related to Supplementary Fig. 12.					
GroupID	Pot	Replicate	Fresh Weight(g)	Plant Height(mm)	Root Length(mm)
NipIeIn1v2	2	3	0.56	440	120
NipIeIn1v2	2	4	0.56	442	124
NipIeIn1v2	2	5	0.58	451	161
NipIeIn1v2	3	1	0.56	421	133
NipIeIn1v2	3	2	0.61	459	114
NipIeIn1v2	3	3	0.53	428	134
NipIeIn1v2	3	4	0.56	435	116
NipIeIn1v2	3	5	0.47	416	80
NipIeIn2v1	1	1	0.58	397	103
NipIeIn2v1	1	2	0.56	431	107
NipIeIn2v1	1	3	0.5	410	100
NipIeIn2v1	1	4	0.41	391	88
NipIeIn2v1	1	5	0.51	435	97
NipIeIn2v1	2	1	0.59	456	154
NipIeIn2v1	2	2	0.41	426	79
NipIeIn2v1	2	3	0.51	428	126
NipIeIn2v1	2	4	0.67	463	87
NipIeIn2v1	2	5	0.59	472	103
NipIeIn2v1	3	1	0.56	465	125
NipIeIn2v1	3	2	0.73	465	137
NipIeIn2v1	3	3	0.45	377	93
NipIeIn2v1	3	4	0.71	483	108
Ir24IeIn0v2	1	1	0.4	366	79
Ir24IeIn0v2	1	2	0.33	357	111
Ir24IeIn0v2	1	3	0.42	339	136
Ir24IeIn0v2	1	4	0.35	373	96
Ir24IeIn0v2	1	5	0.4	363	171
Ir24IeIn0v2	2	1	0.41	381	170
Ir24IeIn0v2	2	2	0.38	379	148
Ir24IeIn0v2	2	3	0.39	376	156
Ir24IeIn0v2	2	4	0.51	401	152
Ir24IeIn0v2	2	5	0.47	403	117
Ir24IeIn0v2	3	1	0.4	361	352
Ir24IeIn0v2	3	2	0.38	363	201
Ir24IeIn0v2	3	3	0.41	370	180
Ir24IeIn0v2	3	4	0.34	309	206
Ir24IeIn2v0	1	1	0.58	394	162
Ir24IeIn2v0	1	2	0.54	381	124
Ir24IeIn2v0	1	3	0.59	348	221
Ir24IeIn2v0	1	4	0.37	343	113
Ir24IeIn2v0	1	5	0.5	372	100
Ir24IeIn2v0	2	1	0.73	400	156
Ir24IeIn2v0	2	2	0.63	386	163
Ir24IeIn2v0	2	3	0.26	346	80
Ir24IeIn2v0	2	4	0.62	406	140
Ir24IeIn2v0	2	5	0.43	366	140
Ir24IeIn2v0	3	1	0.59	420	122
Ir24IeIn2v0	3	2	0.61	428	107
Ir24IeIn2v0	3	3	0.57	392	130
Ir24IeIn2v0	3	4	0.57	419	83
Ir24IeIn1v1	1	1	0.5	350	346
Ir24IeIn1v1	1	2	0.58	386	186
Ir24IeIn1v1	1	3	0.5	365	78
Ir24IeIn1v1	1	4	0.56	372	142
Ir24IeIn1v1	1	5	0.37	323	52
Ir24IeIn1v1	2	1	0.43	352	81
Ir24IeIn1v1	2	2	0.41	370	102
Ir24IeIn1v1	2	3	0.5	375	87
Ir24IeIn1v1	2	4	0.48	360	90
Ir24IeIn1v1	2	5	0.4	350	101
Ir24IeIn1v1	3	1	0.52	380	101
Ir24IeIn1v1	3	2	0.56	371	134
Ir24IeIn1v1	3	3	0.39	352	154
Ir24IeIn1v1	3	4	0.52	399	102
Ir24IeIn1v2	1	1	0.6	366	104
Ir24IeIn1v2	1	2	0.45	365	259
Ir24IeIn1v2	1	3	0.44	350	187
Ir24IeIn1v2	1	4	0.5	363	199
Ir24IeIn1v2	2	1	0.54	372	189
Ir24IeIn1v2	2	2	0.4	324	129
Ir24IeIn1v2	2	3	0.52	374	152
Ir24IeIn1v2	2	4	0.45	375	233
Ir24IeIn1v2	2	5	0.42	364	178
Ir24IeIn1v2	3	1	0.4	351	133
Ir24IeIn1v2	3	2	0.41	355	168
Ir24IeIn1v2	3	3	0.47	362	132
Ir24IeIn1v2	3	4	0.43	375	147
Ir24IeIn1v2	3	5	0.63	383	164
Ir24IeIn2v1	1	1	0.61	400	143
Ir24IeIn2v1	1	2	0.69	418	144
Ir24IeIn2v1	1	3	0.64	406	153
Ir24IeIn2v1	1	4	0.6	396	82
Ir24IeIn2v1	2	1	0.66	396	130
Ir24IeIn2v1	2	2	0.59	372	138
Ir24IeIn2v1	2	3	0.64	397	135
Ir24IeIn2v1	2	4	0.45	353	161
Ir24IeIn2v1	2	5	0.49	354	107
Ir24IeIn2v1	3	1	0.51	391	80
Ir24IeIn2v1	3	2	0.47	375	82
Ir24IeIn2v1	3	3	0.55	413	154
Ir24IeIn2v1	3	4	0.6	398	97
Ir24IeIn2v1	3	5	0.52	386	81
