Supplementary Table 6: Differential abundance of OTUs between indica and japonica; details of OTUs in each part of Venn diagrams in Figure 3.														
Supplementary Table 6a: Differential abundance of OTUs between indica and japonica in Field I.														
OTUID	logFC	logCPM	P value	FDR 	level	Phylum	Class	Order	Family	Genus	Indica	Japonica	Indica_Soil	Japonica_Soil
OTU_1729	1.209	10.31	1.27531E-10	3.39786E-10	Enriched	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	0.021	0.009	Depleted	Depleted
OTU_173	0.905	10.744	0.000739414	0.001135955	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Kaistia	0.018	0.01	Enriched	Enriched
OTU_174	0.946	11.782	4.48263E-05	7.45801E-05	Enriched	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	0.023	0.012	Enriched	Enriched
OTU_178	0.983	10.766	4.30266E-16	1.88427E-15	Enriched	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	0.061	0.031	Depleted	Depleted
OTU_179	1.142	12.093	4.95807E-22	6.99639E-21	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloligella	0.168	0.076	Depleted	Depleted
OTU_18	-0.071	15.541	0.235980495	0.262124107	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	1.282	1.347	Enriched	NotSig
OTU_180	1.43	14.956	4.41902E-08	9.3536E-08	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	0.12	0.044	Enriched	Enriched
OTU_181	0.725	12.132	2.85479E-06	5.33175E-06	Enriched	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Parcubacteria_genera_incertae_sedis	0.104	0.063	Enriched	NotSig
OTU_182	1.129	12.259	1.72177E-21	2.18664E-20	Enriched	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	0.179	0.082	Depleted	Depleted
OTU_1836	0.172	10.823	0.378668976	0.408705042	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Leifsonia	0.02	0.018	NotSig	NotSig
OTU_185	-0.472	14.387	0.004099332	0.0058716	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas	0.227	0.314	Enriched	Enriched
OTU_1855	0.63	9.214	1.60877E-05	2.83769E-05	Enriched	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	0.011	0.007	Depleted	Depleted
OTU_186	1.557	14.604	3.26417E-21	3.76863E-20	Enriched	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Tangfeifania	0.395	0.134	Enriched	Enriched
OTU_187	1.149	12.847	2.54937E-09	6.03297E-09	Enriched	Proteobacteria	Deltaproteobacteria	Clostridiales	Geobacteraceae	Geobacter	0.074	0.033	Enriched	Enriched
OTU_1894	1.158	10.335	7.8727E-19	5.65943E-18	Enriched	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	0.045	0.02	Depleted	Depleted
OTU_19	0.488	15.539	0.000321197	0.00050154	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Kinneretia	1.204	0.858	Enriched	Enriched
OTU_190	0.592	12.311	0.00083613	0.001266212	Enriched	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	0.103	0.068	Enriched	Enriched
OTU_191	1.249	11.619	4.24678E-24	1.34835E-22	Enriched	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	0.14	0.059	Depleted	Depleted
OTU_1911	0.844	8.119	0.01380986	0.018526608	NotSig	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Ferribacterium	0.003	0.001	NotSig	Enriched
OTU_194	0.452	12.441	0.421814629	0.450171915	NotSig	Acidobacteria	Acidobacteria_Gp3	Unassigned	Unassigned	Gp3	0.035	0.025	Enriched	Enriched
