Supplementary Table 2: Information of indica and japonica varieties.						
No.	ID	Latitude	Longitude	Regions	Subspecies	Variety
34	H4074	29.0509	77.2151	Subcontinent	indica	RP2151-173-1-8
35	H4075	47.6612	18.9556	EasternEurope	japonica	HB-6-2
36	H4076	23.322	-83.6698	CentralAmerica	indica	ECIA76-S89-1
37	H4079	31.3013	75.1656	Subcontinent	indica	Toga
38	H4080	23.5282	114.028	China	indica	KinShanZim
39	J4083	36.7219	138.22	NorthPacific	japonica	Tamanishiki
40	J4087	22.5065	121.949	China	indica	KaoChioLinChou
41	J4088	29.8509	107.389	China	indica	PanJu
42	J4089	35.2265	138.586	NorthPacific	japonica	NiwahutawMochi
43	J4090	37.533	43.5	Mideast	japonica	6360
44	K4091	38.1872	138.717	NorthPacific	japonica	Somewake
45	K4093	28.7445	81.7418	Subcontinent	indica	Juppa
46	K4094	43.0739	10.9219	WesternEurope	japonica	Ardito
47	K4096	17.7656	-97.4986	NorthAmerica	indica	2017/9/4
48	L4101	46.3824	19.052	EasternEurope	japonica	CSORNUJ
49	L4103	38.42	-9.1	WesternEurope	japonica	LUSITANO
50	L4105	15.4201	120.845	SouthPacific	indica	IR238
51	L4108	36.1566	67.8055	Subcontinent	japonica	Gazan
52	L4110	23.3621	119.983	China	indica	HsinHsingPaiKu
53	M4112	24.2979	113.759	China	indica	ShuiYaJien
54	M4113	12.2551	104.507	SoutheastAsia	indica	TranoeupBeykher
55	M4114	41.7092	12.3055	WesternEurope	indica	10340
56	M4115	20.694	83.3553	Subcontinent	indica	AKP4
57	M4117	15.7332	100.488	SoutheastAsia	indica	TD70
58	M4118	14.6431	120.458	SouthPacific	indica	IR2061-214-2-3
59	M4119	25.7093	121.297	China	indica	TAINUNG45
60	M4120	-19.5994	46.9647	Africa	indica	Manga629
61	N4121	19.4558	76.7588	Subcontinent	indica	SapundaliLocal
62	N4123	39.315	-3.41141	WesternEurope	japonica	Bombon
63	N4126	-6.29513	106.042	SouthPacific	indica	B805D-MR-16-8-3
64	N4127	17.7339	-69.7105	CentralAmerica	indica	TONOBREA439
65	N4130	19.39	83.4699	Subcontinent	indica	CO13
66	P4135	40.2637	70.689	Balkans	indica	UZROS59
67	P4139	39.793	46.9282	Balkans	japonica	Celiaj
68	P4140	13.2888	101.079	SoutheastAsia	indica	CNTLR80076-44-1-1-1
69	Q4141	17.284	121.447	SouthPacific	indica	IR58614-B-B-8-2
70	Q4142	20.6384	106.046	SoutheastAsia	indica	CM1_HAIPONG
71	Q4143	38.7705	119.224	China	indica	KECHENGNUONO.4
72	Q4144	38.4703	115.311	China	indica	4484
73	Q4145	39.208	114.85	China	indica	4595
74	Q4146	39.3757	115.99	China	indica	YOU-IB
75	Q4147	39.5004	115.471	China	japonica	CHUNJIANGZAONO.1
76	Q4148	39.983	42.567	Mideast	japonica	EgyptianWildType
77	Q4149	35.6778	138.023	NorthPacific	japonica	A5
78	R4154	15.8754	104.35	SoutheastAsia	indica	SravPrapay
79	S4165	28.05	81.617	Subcontinent	indica	Dhan
80	S4167	38.7613	-8.03134	WesternEurope	japonica	Romeno
81	S4168	7.09891	79.3386	Subcontinent	indica	AMANE
82	T4177	42.1597	24.1737	EasternEurope	japonica	Karabaschak
83	T4179	43.6307	132.363	EasternEurope	japonica	WIR911
84	W4194	17.0456	-76.9894	CentralAmerica	indica	Sereno
85	W4195	18.2742	96.2619	SoutheastAsia	indica	A36-3
86	W4196	11.988	101.372	SoutheastAsia	indica	NahngSawn
87	W4197	26.7915	92.2167	Subcontinent	indica	ARC10633
88	W4200	41.8413	141.9	NorthPacific	indica	FUJISAKA5
89	X4203	24.1056	115.42	China	indica	WONGCHIM
90	X4204	13.5886	-1.13074	Africa	indica	Bogarigbeli
91	X4205	-3.5	30	Africa	indica	Magoti
92	X4210	14.7286	101.241	SoutheastAsia	indica	KrachekChap
93	Y4211	44.7223	38.2919	EasternEurope	japonica	KRASNODARSKIJ3352
94	Y4215	32.8307	-92.6377	SouthPacific	indica	IR64
95	Y4216	32.6024	-91.017	NorthAmerica	japonica	M202
