Supplementary Table 8: Differential abundance OTUs between the nrt1.1b mutant and wild-type ZH11; differential abundance OTUs between  NRT1.1Bindica and NRT1.1Bjaponica; details of OTUs in each part of Venn diagrams of Fig. 4.														
Supplementary Table 8a: Differential abundance OTUs between the nrt1.1b mutant and ZH11 wild type.														
nrt1.1b vs ZH11	logFC	logCPM	P value	FDR	level	Phylum	Class	Order	Family	Genus	MeanA	MeanB		
OTU_236	-2.834	11.832	0.002576578	0.005913711	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	0.007	0.051		
OTU_2378	-2.784	6.352	0.004516304	0.009832638	Depleted	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	0	0.003		
OTU_24	1.411	18.016	2.61E-07	2.12E-06	Enriched	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	11.475	4.316		
OTU_25	-2.716	8.645	2.62E-05	0.000107381	Depleted	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0.002	0.014		
OTU_2503	-2.331	8.259	0.007253399	0.01510134	Depleted	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XII	Acidaminobacter	0.001	0.007		
OTU_254	-2.167	10.067	2.68E-06	1.76E-05	Depleted	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	0.009	0.042		
OTU_256	-1.597	13.09	9.21E-07	6.88E-06	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces	0.153	0.463		
OTU_2568	-3.104	12.57	9.21E-07	6.88E-06	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	0.019	0.162		
OTU_257	3.218	8.215	5.80E-05	0.00020641	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Sinomonas	0.01	0.001		
OTU_262	-3.386	8.111	0.002878165	0.006488645	Depleted	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	0	0.004		
OTU_264	-2.79	9.967	1.38E-08	2.18E-07	Depleted	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	0.008	0.056		
OTU_27	3.28	17.872	1.38E-08	2.18E-07	Enriched	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Cedecea	6.935	0.714		
OTU_274	-5.697	8.204	0.006542166	0.013847584	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Ancalomicrobium	0	0.005		
OTU_28	-0.823	13.901	0.000611088	0.001583839	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	0.402	0.711		
OTU_2811	-2.164	9.204	2.68E-06	1.76E-05	Depleted	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.006	0.029		
OTU_284	-1.801	10.708	9.54E-05	0.000313219	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes	0.021	0.073		
OTU_288	-3.129	7.851	0.000177942	0.00054674	Depleted	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	0.001	0.009		
OTU_289	-1.381	8.951	0.00295265	0.006617409	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	0.007	0.02		
OTU_29	-3.911	12.111	1.38E-08	2.18E-07	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae	Mobilicoccus	0.009	0.136		
OTU_293	-5.247	10.991	1.51E-05	6.71E-05	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	0.001	0.038		
OTU_297	-2.361	10.459	1.38E-08	2.18E-07	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	0.014	0.074		
OTU_298	-1.232	11.61	0.006895596	0.014515039	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	0.027	0.063		
OTU_30	-4.163	10.23	3.39E-06	2.05E-05	Depleted	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Georgfuchsia	0.002	0.034		
OTU_305	-2.878	8.88	0.000536035	0.001418258	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium	0.002	0.013		
OTU_31	-3.155	14.851	1.38E-08	2.18E-07	Depleted	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Chloroplast	Streptophyta	0.158	1.406		
OTU_316	-2.653	8.324	0.00172989	0.003994474	Depleted	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	0.002	0.01		
OTU_32	-3.352	13.097	0.000142304	0.000455613	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	0.017	0.174		
OTU_323	-2.455	10.645	6.19E-07	4.91E-06	Depleted	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Tangfeifania	0.01	0.056		
OTU_335	-2.856	8.632	3.78E-05	0.000142645	Depleted	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	0.003	0.02		
OTU_3395	-2.949	9.876	0.000212309	0.000631951	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodospirillaceae	Novispirillum	0.003	0.025		
OTU_34	-1.2	12.847	3.65E-05	0.000139119	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Micromonospora	0.083	0.191		
OTU_3464	-4.961	6.269	0.003039253	0.006732299	Depleted	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	0	0.003		
OTU_35	-2.675	13.915	1.38E-08	2.18E-07	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	0.112	0.718		
OTU_350	-3.834	7.88	5.90E-05	0.000208178	Depleted	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	0.001	0.01		
OTU_36	-3.985	10.708	0.000650599	0.001652521	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Tepidimonas	0.003	0.048		
OTU_3692	1.089	14.015	0.000342601	0.000959788	Enriched	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea	1.092	0.513		
OTU_37	-3.846	11.539	1.38E-08	2.18E-07	Depleted	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Geobacter	0.01	0.15		
OTU_370	-2.885	10.088	4.35E-06	2.33E-05	Depleted	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	0.004	0.034		
OTU_378	-2.928	9.475	2.75E-08	3.27E-07	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Blastococcus	0.005	0.035		
OTU_38	-1.62	12.908	2.82E-05	0.00011443	Depleted	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.107	0.329		
OTU_385	-1.357	8.505	0.000881334	0.002180444	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Intrasporangium	0.005	0.013		
OTU_386	-3.051	6.828	0.002878165	0.006488645	Depleted	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	0	0.003		
OTU_39	-3.485	11.797	9.63E-08	9.17E-07	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Piscinibacter	0.009	0.105		
OTU_390	-3.106	9.353	0.000423454	0.001160689	Depleted	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Melioribacter	0.002	0.017		
OTU_392	-5.276	7.991	0.001353264	0.003182676	Depleted	Acidobacteria	Acidobacteria_Gp3	Unassigned	Unassigned	Candidatus_Solibacter	0	0.004		
OTU_393	-2.581	7.253	0.000860615	0.0021431	Depleted	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	0.001	0.005		
OTU_396	-2.926	9.568	5.19E-06	2.71E-05	Depleted	Proteobacteria	Deltaproteobacteria	Bacillales	Desulfuromonadaceae	Gemmatimonas	0.003	0.021		
OTU_399	4.11	9.812	1.42E-05	6.35E-05	Enriched	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Empedobacter	0.029	0.002		
OTU_40	-2.052	9.997	0.000515277	0.001372871	Depleted	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	0.006	0.026		
OTU_41	-5.502	8.324	0.003039253	0.006732299	Depleted	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Uliginosibacterium	0	0.004		
OTU_412	-2.024	11.231	0.000417156	0.001151714	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	0.018	0.073		
OTU_419	-2.532	11.471	1.91E-06	1.32E-05	Depleted	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Cystobacter	0.016	0.092		
OTU_4306	-3.472	8.366	2.62E-06	1.76E-05	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Thiomonas	0.001	0.017		
OTU_433	3.796	14.485	1.65E-07	1.43E-06	Enriched	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	0.496	0.036		
OTU_4346	-5.126	6.954	0.006542166	0.013847584	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	0	0.003		
OTU_4356	-3.354	13.92	1.38E-08	2.18E-07	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinomadura	0.069	0.709		
OTU_440	-1.964	8.643	1.39E-05	6.29E-05	Depleted	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Streptomyces	0.004	0.017		
OTU_45	-3.949	8.324	1.18E-05	5.40E-05	Depleted	Spirochaetes	Spirochaetia	Spirochaetales	Leptospiraceae	Leptonema	0	0.008		
OTU_47	-3.093	11.222	4.35E-06	2.33E-05	Depleted	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	0.013	0.113		
OTU_48	-3.237	9.645	4.35E-06	2.33E-05	Depleted	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	0.004	0.04		
OTU_49	-2.872	8.629	7.71E-05	0.000262411	Depleted	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Gallionella	0.002	0.014		
OTU_494	-2.49	7.745	0.001289429	0.003051382	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Chelatococcus	0.002	0.011		
OTU_496	-2.04	7.828	0.000240157	0.000703845	Depleted	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mobilitalea	0.002	0.008		
OTU_50	-4.123	10.469	3.79E-06	2.16E-05	Depleted	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vogesella	0.004	0.066		
OTU_501	-2.664	10.292	5.50E-08	5.99E-07	Depleted	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.012	0.076		
OTU_506	-3.243	7.629	4.48E-05	0.000164158	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Sulfuricellaceae	Sulfuriferula	0.001	0.007		
OTU_51	-2.356	7.467	0.000701917	0.001771062	Depleted	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Dyella	0.001	0.005		
OTU_512	-2.46	10.222	1.38E-08	2.18E-07	Depleted	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella	0.01	0.055		
OTU_54	-4.948	10.34	4.33E-06	2.33E-05	Depleted	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Tangfeifania	0.001	0.045		
OTU_56	-3.197	10.282	0.000146025	0.000463628	Depleted	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Propionivibrio	0.003	0.033		
OTU_569	-3.143	12.709	1.33E-06	9.59E-06	Depleted	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vogesella	0.031	0.274		
OTU_575	-2.642	6.651	0.001087888	0.002634001	Depleted	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Solirubrobacter	0.001	0.004		
OTU_58	-3.32	9.768	1.38E-08	2.18E-07	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	0.004	0.045		
OTU_586	-4.63	7.366	0.000514117	0.001372871	Depleted	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	0	0.006		
OTU_595	-2.512	6.183	0.007573178	0.015681417	Depleted	Acidobacteria	Acidobacteria_Gp2	Unassigned	Unassigned	Gp2	0	0.002		
OTU_60	-2.696	8.937	1.99E-05	8.43E-05	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	0.004	0.026		
OTU_61	-2.519	7.467	0.005158954	0.011167963	Depleted	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	0.001	0.007		
OTU_612	-3.152	7.33	3.90E-05	0.000145576	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	0.001	0.009		
OTU_62	-2.19	9.799	0.000273654	0.000778075	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	0.006	0.029		
OTU_628	-5.071	9.745	3.22E-06	2.04E-05	Depleted	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Chromobacterium	0.001	0.032		
OTU_637	-2.052	7.768	0.000587706	0.001533671	Depleted	Proteobacteria	Deltaproteobacteria	Myxococcales	Labilitrichaceae	Labilithrix	0.002	0.01		
