Supplementary Table 6b: Differential abundance of OTUs between indica and japonica in Field II.														
OTUID	logFC	logCPM	P value	FDR	level	Phylum	Class	Order	Family	Genus	Indica	Japonica	Indica_Soil	Japonica_Soil
OTU_12	-1.186	16.722	6.17894E-10	2.14016E-08	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	0.961	2.187	Enriched	Enriched
OTU_121	0.865	11.954	5.68009E-09	8.01523E-08	Enriched	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Melioribacter	0.107	0.058	NotSig	Depleted
OTU_122	0.592	14.682	0.001772121	0.004788497	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	0.126	0.084	Enriched	Enriched
OTU_123	0.103	12.322	0.507640493	0.618710616	NotSig	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	0.06	0.056	Enriched	Enriched
OTU_124	0.952	12.681	9.31586E-06	4.67019E-05	Enriched	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Marinifilum	0.122	0.063	Enriched	Enriched
OTU_125	1.254	14.397	0.134461856	0.202489989	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	0.064	0.027	Enriched	Enriched
OTU_127	0.5	12.176	0.000649581	0.002012116	Enriched	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	0.079	0.056	Enriched	Enriched
OTU_1278	0.323	13.924	0.098256082	0.15795598	NotSig	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azonexus	0.153	0.122	Enriched	Enriched
OTU_128	-0.564	12.919	0.001888828	0.004997525	Depleted	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	0.023	0.035	Enriched	Enriched
OTU_129	0.141	14.116	0.088948015	0.14607411	NotSig	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	0.215	0.195	Enriched	Enriched
OTU_13	0.073	14.212	0.988411495	0.990283217	NotSig	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	0.131	0.124	Enriched	Enriched
OTU_131	-0.164	13.802	0.559616526	0.658067582	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Actinotalea	0.073	0.081	Enriched	Enriched
OTU_132	0.902	12.896	0.002317426	0.005925768	Enriched	Bacteroidetes	Bacteroidetes_incertae_sedis	Bacteroidales	Marinilabiliaceae	Marinifilum	0.12	0.064	Enriched	Enriched
OTU_133	0.894	14.213	1.84539E-07	1.49594E-06	Enriched	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	0.289	0.155	Enriched	Enriched
OTU_1334	0.068	9.838	0.178322442	0.260309771	NotSig	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	0.029	0.028	Depleted	Depleted
OTU_134	0.355	11.85	0.157678937	0.232851453	NotSig	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	0.075	0.058	Enriched	Enriched
OTU_135	0.261	12.981	0.639198115	0.731334781	NotSig	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	0.081	0.067	NotSig	NotSig
OTU_1352	0.225	10.844	0.319380527	0.426961337	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	0.009	0.008	Enriched	Enriched
OTU_136	0.445	12.678	2.02723E-08	2.41367E-07	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	0.222	0.163	Depleted	Depleted
OTU_137	-0.4	13.867	0.729202277	0.805292949	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	0.083	0.109	Enriched	NotSig
OTU_1378	-0.208	13.292	0.32869949	0.434842033	NotSig	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Sphaerotilus	0.072	0.083	Enriched	Enriched
OTU_138	0.581	13.755	7.52156E-06	3.92563E-05	Enriched	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Sideroxydans	0.393	0.263	Enriched	NotSig
OTU_139	-0.565	12.318	0.000240614	0.000804157	Depleted	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	0.025	0.037	Enriched	Enriched
OTU_14	3.456	12.876	0.581854013	0.677939997	NotSig	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	0.005	0	Enriched	Enriched
OTU_140	-0.055	14.672	0.61344744	0.709490276	NotSig	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	0.163	0.17	Enriched	Enriched
OTU_141	1.144	15.168	8.22051E-10	2.40924E-08	Enriched	Proteobacteria	Chloroplast	Rhizobiales	Chloroplast	Streptophyta	0.159	0.072	Enriched	NotSig
OTU_142	1.005	11.65	4.16256E-09	6.80585E-08	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Clostridiales_Incertae_Sedis_III	Caldicellulosiruptor	0.071	0.035	Enriched	Enriched
OTU_143	0.206	14.155	0.871792024	0.907521205	NotSig	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	0.184	0.159	Depleted	Depleted
OTU_144	1.039	13.233	2.67518E-10	1.27405E-08	Enriched	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	0.176	0.086	Enriched	Enriched
OTU_1443	-0.293	10.249	0.871042778	0.907521205	NotSig	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	0.004	0.005	Enriched	Enriched
OTU_145	0.765	12.104	7.56236E-08	7.58226E-07	Enriched	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	0.138	0.081	Enriched	Enriched
OTU_146	0.393	13.552	0.018066326	0.036038064	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Marmoricola	0.214	0.163	NotSig	Depleted
OTU_147	-0.052	14.626	0.016696285	0.033836621	NotSig	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter	0.109	0.113	Enriched	Enriched
OTU_148	0.755	9.933	0.170825581	0.250325179	NotSig	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	0.007	0.004	Enriched	Enriched
OTU_15	-0.96	16.086	1.7822E-07	1.47613E-06	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas	0.585	1.138	Enriched	Enriched
OTU_1517	0.629	9.992	2.18354E-08	2.45883E-07	Enriched	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio	0.038	0.025	Depleted	Depleted
OTU_152	-0.365	14.148	0.004312542	0.009898063	Depleted	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	0.047	0.06	Enriched	Enriched
OTU_153	0.026	12.051	0.935686402	0.953199249	NotSig	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylophilus	0.07	0.069	Enriched	Enriched
OTU_155	0.713	11.078	2.40281E-09	4.16124E-08	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	0.073	0.044	Enriched	NotSig
OTU_16	-0.918	16.787	8.58659E-09	1.16839E-07	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylosinus	0.323	0.611	NotSig	Enriched
OTU_160	0.192	12.191	0.350130821	0.459999458	NotSig	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter	0.028	0.024	Enriched	Enriched
OTU_161	0.302	12.2	0.001714649	0.004666295	Enriched	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter	0.14	0.114	Depleted	Depleted
OTU_162	0.564	13.254	0.113688036	0.176796496	NotSig	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	0.078	0.053	Enriched	Enriched
OTU_164	0.858	13.486	1.29807E-08	1.64855E-07	Enriched	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Natronoflexus	0.28	0.154	Enriched	NotSig
OTU_165	0.676	13.644	0.614519137	0.709490276	NotSig	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter	0.086	0.054	Enriched	NotSig
OTU_166	0.665	14.165	0.327793645	0.434842033	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	0.082	0.052	Enriched	Enriched
OTU_1672	0.374	9.831	0.047031152	0.082196646	NotSig	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Thermogemmatisporaceae	Thermogemmatispora	0.017	0.013	Depleted	Depleted
OTU_168	0.065	12.9	0.2606578	0.362447525	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Mycetocola	0.109	0.104	Enriched	NotSig
OTU_169	0.946	11.387	5.08442E-10	1.93716E-08	Enriched	Proteobacteria	Clostridia	Clostridiales	Ruminococcaceae	Pseudobacteroides	0.073	0.038	Enriched	Enriched
OTU_1697	0.68	9.681	4.20779E-06	2.3576E-05	Enriched	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	0.017	0.011	Depleted	Depleted
OTU_171	-0.905	14.545	0.839357691	0.891609659	NotSig	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	0.035	0.065	Enriched	Enriched
OTU_172	0.653	12.039	1.33484E-09	2.82541E-08	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Thiomonas	0.148	0.094	Depleted	Depleted
OTU_1729	0.198	10.374	0.101789406	0.162266793	NotSig	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	0.019	0.017	Depleted	Depleted
OTU_173	0.094	12.898	0.479117963	0.592675142	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Kaistia	0.055	0.052	Enriched	Enriched
OTU_174	0.302	12.545	0.409558079	0.52013876	NotSig	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	0.081	0.066	Enriched	Enriched
OTU_178	0.291	11.164	0.000183395	0.000653024	Enriched	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	0.058	0.047	Depleted	Depleted
OTU_179	0.415	12.533	2.39673E-08	2.60901E-07	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloligella	0.187	0.14	Depleted	Depleted
OTU_18	-0.049	15.752	0.115981376	0.179629692	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	1.216	1.258	Enriched	NotSig
OTU_180	0.462	13.656	0.041281975	0.072816818	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	0.115	0.084	Enriched	Enriched
OTU_181	0.173	12.894	0.52750895	0.63400918	NotSig	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Parcubacteria_genera_incertae_sedis	0.106	0.094	Enriched	NotSig
OTU_182	0.316	12.709	1.3862E-05	6.44078E-05	Enriched	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	0.174	0.14	Depleted	Depleted
OTU_1836	-0.817	12.697	0.435730711	0.549629977	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Leifsonia	0.023	0.04	NotSig	NotSig
OTU_185	0.274	14.734	0.54935018	0.652704507	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas	0.108	0.089	Enriched	Enriched
OTU_1855	0.257	9.203	0.453245934	0.566185905	NotSig	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	0.011	0.009	Depleted	Depleted
OTU_186	1.599	13.3	9.31074E-09	1.22324E-07	Enriched	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Tangfeifania	0.16	0.053	Enriched	Enriched
OTU_187	-0.085	13.87	0.710501311	0.792176709	NotSig	Proteobacteria	Deltaproteobacteria	Clostridiales	Geobacteraceae	Geobacter	0.159	0.168	Enriched	Enriched
OTU_1894	0.473	10.135	1.40504E-05	6.44964E-05	Enriched	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	0.03	0.022	Depleted	Depleted
OTU_19	0.55	16.175	3.30252E-06	1.878E-05	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Kinneretia	1.922	1.313	Enriched	Enriched
OTU_190	0.643	11.758	2.08405E-07	1.65421E-06	Enriched	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	0.113	0.072	Enriched	Enriched
OTU_191	0.562	11.569	5.22622E-08	5.38159E-07	Enriched	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	0.099	0.067	Depleted	Depleted
OTU_1911	0.107	8.835	0.330533333	0.435755016	NotSig	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Ferribacterium	0.004	0.004	NotSig	Enriched
OTU_194	-0.345	12.942	0.362894497	0.473502751	NotSig	Acidobacteria	Acidobacteria_Gp3	Unassigned	Unassigned	Gp3	0.042	0.054	Enriched	Enriched
OTU_195	1.384	13.278	1.84899E-09	3.42436E-08	Enriched	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sulfuritalea	0.092	0.035	Enriched	Enriched
OTU_1954	0.615	14.861	4.28715E-09	6.80585E-08	Enriched	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	0.686	0.448	NotSig	Enriched
OTU_196	-0.923	16.583	0.000493515	0.001566911	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	0.601	1.139	Enriched	Enriched
OTU_197	0.559	13.074	0.019168042	0.037260326	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	0.042	0.029	Enriched	Enriched
OTU_1971	-2.038	10.588	0.000680331	0.002073649	Depleted	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophaga	0.001	0.005	NotSig	NotSig
OTU_198	0.34	17.017	0.241656247	0.338965613	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Dactylosporangium	0.203	0.16	NotSig	Depleted
OTU_199	0.512	11.823	4.56703E-09	6.96016E-08	Enriched	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_2	Ammoniphilus	0.109	0.077	Depleted	Depleted
OTU_2	-0.239	18.696	0.000994047	0.002935906	NotSig	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	13.31	15.712	Enriched	NotSig
OTU_20	1.001	15.186	1.56336E-07	1.38521E-06	Enriched	Proteobacteria	Gammaproteobacteria	Clostridiales	Chloroplast	Streptophyta	0.706	0.353	Enriched	Enriched
OTU_201	0.497	11.978	6.56195E-06	3.47237E-05	Enriched	Proteobacteria	Actinobacteria	Actinomycetales	Xanthomonadaceae	Streptomyces	0.065	0.046	Depleted	Depleted
OTU_202	0.529	13.092	9.03505E-05	0.000344236	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Acidothermus	0.177	0.123	Enriched	Enriched
OTU_205	-0.054	13.029	0.91706025	0.939247191	NotSig	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	0.06	0.062	Enriched	Enriched
OTU_206	0.287	12.051	0.096891191	0.156421796	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_incertae_sedis	Vasilyevaea	0.055	0.045	Enriched	Enriched
OTU_208	1.505	16.351	0.939313527	0.954342544	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium	0.08	0.028	Enriched	Enriched
OTU_21	-0.051	15.389	0.084204585	0.138882887	NotSig	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.86	0.891	Depleted	Depleted
OTU_210	0.485	12.234	0.000499501	0.001572808	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Lapillicoccus	0.113	0.08	Depleted	Depleted
OTU_211	0.121	12.58	0.218493857	0.312955487	NotSig	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	0.139	0.128	Enriched	Enriched
OTU_214	-0.135	13.8	0.011298038	0.02404778	NotSig	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	0.039	0.043	Enriched	Enriched
OTU_216	-0.595	14.327	0.522195219	0.631607551	NotSig	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Bacteroides	0.117	0.177	Enriched	NotSig
OTU_217	-0.17	6.491	0.770674607	0.841338181	NotSig	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	0	0	Enriched	Enriched
OTU_219	0.645	10.745	3.06818E-07	2.38567E-06	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	0.046	0.029	Depleted	Depleted
OTU_22	0.872	7.858	0.06914532	0.116567995	NotSig	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Cystobacter	0.001	0.001	Enriched	Enriched
OTU_220	0.368	11.681	0.001305608	0.003604613	Enriched	Actinobacteria	Actinobacteria	Solirubrobacterales	Gaiellaceae	Gaiella	0.098	0.076	Depleted	Depleted
OTU_221	1.391	10.135	0.004661213	0.010570966	Enriched	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Mangroviflexus	0.013	0.005	Enriched	Enriched
OTU_224	-0.134	12.298	0.565519617	0.662962997	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Demequinaceae	Demequina	0.025	0.028	Enriched	Enriched
OTU_225	-0.642	12.321	0.124711895	0.190060929	NotSig	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	0.011	0.017	NotSig	Enriched
OTU_226	0.236	11.765	0.001022951	0.002998035	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	0.114	0.097	Depleted	Depleted
OTU_227	-0.851	12.251	0.109246757	0.171288125	NotSig	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_incertae_sedis	Unassigned	Rhizomicrobium	0.025	0.046	Enriched	Enriched
OTU_23	-0.819	15.868	1.36596E-05	6.42507E-05	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	0.676	1.193	Enriched	Enriched
OTU_230	0.391	12.008	2.44848E-06	1.48075E-05	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	0.122	0.093	Depleted	Depleted
OTU_231	0.243	12.178	0.002684612	0.006685211	NotSig	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	0.113	0.095	Depleted	Depleted
OTU_2317	0.126	9.514	0.236757239	0.33409077	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	0.008	0.008	Enriched	Enriched
OTU_233	0.375	11.756	3.60567E-05	0.000150963	Enriched	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	0.095	0.073	Depleted	Depleted
OTU_234	0.353	12.818	0.386066078	0.496929647	NotSig	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae_incertae_sedis	Aciditerrimonas	0.043	0.034	NotSig	NotSig
OTU_235	-0.061	13.697	0.861634968	0.905653389	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	0.126	0.131	NotSig	NotSig
OTU_236	0.292	12.491	3.43252E-05	0.00014531	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	0.162	0.133	Depleted	Depleted
OTU_2369	-0.365	12.271	0.230403078	0.326332984	NotSig	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	0.023	0.03	Depleted	Depleted
OTU_237	0.446	13.241	0.220848748	0.315143719	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	0.094	0.069	NotSig	Enriched
OTU_2378	0.764	10.296	1.70177E-07	1.47358E-06	Enriched	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	0.023	0.014	Depleted	Depleted
OTU_239	-0.527	11.94	0.54228163	0.64767806	NotSig	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	0.012	0.018	Enriched	Enriched
OTU_2397	0.614	13.697	0.000145749	0.000533946	Enriched	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	0.08	0.052	NotSig	Depleted
OTU_24	-0.049	14.113	0.716815835	0.793915212	NotSig	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	0.064	0.067	Enriched	Enriched
OTU_242	0.166	15.752	0.195967345	0.282816509	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Verrucosispora	0.107	0.095	NotSig	Depleted
OTU_243	0.517	11.4	0.002208523	0.005763337	Enriched	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix	0.058	0.04	NotSig	Depleted
OTU_246	0.355	11.853	7.09012E-05	0.000281389	Enriched	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	0.103	0.08	Depleted	Depleted
